Synset('steal.v.01')	stolen stole stealing
Synset('retain.v.03')	holding retained held retain retaining
Synset('hide.v.01')	conceal concealed
Synset('help.v.08')	helping helped helps
Synset('promise.n.01')	promise promises
Synset('run.v.23')	led lead
Synset('copy.v.01')	copies copied copying copy
Synset('fraction.n.03')	fractions fraction
Synset('button.n.01')	button buttons
Synset('segment.n.02')	segment segments
Synset('purpose.n.01')	intents aims aim purpose purposes design intentions designs intent intention
Synset('hacker.n.03')	hacker hackers
Synset('collection.n.01')	collections collection
Synset('gun.n.01')	gun guns
Synset('prophet.n.02')	prophets prophet
Synset('merging.n.01')	merging meetings meeting
Synset('mean.v.01')	meant means intends intended intending intend meanings
Synset('calcium.n.01')	calcium ca
Synset('infantry.n.01')	feet infantry foot
Synset('strip.v.11')	striped stripping strip
Synset('employee.n.01')	employees employee
Synset('subsidize.v.02')	subsidize subsidizing subsidized
Synset('odometer.n.01')	odometer odometers
Synset('charge.v.19')	charges charge charging charged
Synset('stress.v.01')	stressed emphasizes emphasized emphasizing emphasize
Synset('scorer.n.02')	scorer scorers
Synset('integrate.v.01')	incorporates integrating incorporated incorporate integrate incorporating integrated
Synset('stick.n.06')	sticks stick
Synset('budget.n.02')	budgets budget
Synset('pardon.n.02')	pardon amnesty
Synset('sting.v.05')	stings sting
Synset('rise.v.02')	climb risen rising rose climbed rise
Synset('militia.n.02')	militia militias
Synset('revolution.n.02')	revolutions revolution
Synset('upgrade.v.02')	upgraded upgrading upgrade upgrades
Synset('suffer.v.01')	suffer suffers suffering
Synset('while.n.01')	patch pieces spell piece patches spells
Synset('reach.v.01')	gaining gained gaines reach
Synset('manual_of_arms.n.01')	manual manuals
Synset('inheritance.n.02')	inheritance heritage
Synset('elect.v.01')	elected elect
Synset('penny.n.01')	pennies penny
Synset('mine.n.01')	mine mines
Synset('conventionality.n.03')	convention conventions
Synset('matthew.n.02')	matthew matthews
Synset('difficulty.n.03')	difficulty difficulties
Synset('market.v.01')	market marketing markets marketed
Synset('lead_up.v.01')	initiate initiated initiating
Synset('stop.v.03')	halt halted stopped
Synset('bury.v.03')	burying bury buried
Synset('master.v.04')	controlled controls mastering masters control controlling master
Synset('band.n.07')	band bands
Synset('post.n.04')	post posts
Synset('volcanic_crater.n.01')	craters crater
Synset('hit.n.06')	hits hit
Synset('creation.n.03')	conception creations creation
Synset('organization.n.01')	organization organizations organisation
Synset('attach.v.02')	attached attach attaching attaches
Synset('pulse.v.02')	pulse pulses
Synset('collection.n.04')	collections assembling collection collecting
Synset('translator.n.01')	translators translator
Synset('support.n.10')	supports support
Synset('push.v.01')	pushed pushing
Synset('park.n.02')	parks green common park
Synset('eye.n.05')	eye eyes
Synset('sell.v.01')	sold sell selling
Synset('reach.v.02')	hits hit reach reached reaching attain attained hitting
Synset('undergo.v.01')	undergone undergoing undergo
Synset('summary.n.01')	summary summaries
Synset('mass.n.01')	mass masses
Synset('wrongdoer.n.01')	offender offenders
Synset('mine.n.02')	mine mines
Synset('society.n.01')	society societies
Synset('hole.n.02')	hole holes
Synset('help.v.06')	helping helped helps
Synset('leap.v.02')	jumping jumped jumps leap jump
Synset('risk.n.02')	dangers peril danger
Synset('supporter.n.01')	champions friend friends booster champion
Synset('serviceman.n.01')	servicemen men man
Synset('protestant_church.n.01')	protestants protestant
Synset('sealing_wax.n.01')	seals seal
Synset('supplant.v.01')	replaces replace replaced replacing supersedes
Synset('proposition.n.01')	propositions proposition
Synset('creation.n.02')	creations creation
Synset('follower.n.01')	follower followers
Synset('detector.n.03')	detectors detector
Synset('attach.v.01')	attached attach
Synset('share.v.04')	shared deal dealing dealt share sharing
Synset('recognize.v.02')	realised recognize realize
Synset('close.v.09')	closed close
Synset('qualify.v.06')	characterized characterize qualifies qualify
Synset('spanish_american.n.01')	hispanics hispanic
Synset('drill.n.04')	drills drill
Synset('punishment.n.01')	punishment punishments penalty
Synset('startle.v.02')	jumping startled start jumped jumps started starting starts jump
Synset('restrain.v.03')	holding confined held restraining restrain confines hold
Synset('promote.v.01')	promote encouraging encourages encouraged encourage advanced advances boost advancing promotes advance
Synset('sell.v.02')	sold sells sell selling
Synset('blow.v.18')	blown blow
Synset('x-ray.v.02')	x-ray x-rays
Synset('suspect.v.03')	suspected suspect
Synset('conference.n.01')	conference conferences
Synset('gun.n.07')	gun guns
Synset('ability.n.01')	abilities ability
Synset('muscle.v.01')	muscles muscle
Synset('letter.v.02')	letter letters
Synset('help.v.03')	facilitate helped
Synset('infrastructure.n.02')	bases infrastructure base
Synset('shock.n.02')	impact impacts
Synset('reporter.n.01')	reporters reporter
Synset('obligation.n.02')	obligation obligations
Synset('defense.n.03')	defence defense defenses
Synset('crash.v.02')	crashed crashes crashing crash
Synset('text.n.02')	texts text
Synset('world.n.08')	world humanities mankind humankind men man humans humanity
Synset('stop.v.01')	stopped stop
Synset('sector.n.02')	sectors sector
Synset('shell.n.01')	shell shells
Synset('hole.n.03')	hole holes
Synset('back.n.09')	back backs
Synset('nautical_mile.n.01')	mile miles
Synset('schedule.n.02')	schedule schedules
Synset('contract.n.01')	contract contracts
Synset('mind.v.02')	minds mind minded
Synset('claim.n.02')	claims claim
Synset('follower.n.02')	follower followers
Synset('therapy.n.01')	therapies therapy
Synset('disclaimer.n.01')	disclaimers disclaimer
Synset('cyclone.n.01')	cyclones cyclone
Synset('heel.n.01')	heel heels
Synset('bound.v.02')	border borders bound bounding
Synset('wonder.v.03')	marvel wondering wondered
Synset('eye.n.02')	eye eyes
Synset('dial.v.02')	dialing dial
Synset('drill.n.01')	drills drill
Synset('overwhelm.v.02')	overwhelm overwhelming
Synset('hit.v.16')	hits hit hitting
Synset('drive.v.09')	drove drive
Synset('purchase.n.01')	purchases purchase
Synset('half.n.02')	halves half
Synset('upgrade.v.05')	upgraded upgrading upgrade upgrades
Synset('scenery.n.01')	scenes scenery scene
Synset('rich.a.07')	richer rich
Synset('immunization.n.01')	immunization immunizations
Synset('step.v.07')	stepped stepping
Synset('seduce.v.01')	score making scoring made scored makes
Synset('count.v.04')	counting counts count counted
Synset('slow.a.01')	slow slower
Synset('rough.a.09')	jumpy bumpy rocky
Synset('feature.n.06')	features feature
Synset('throw.n.01')	throw throws
Synset('crystal.n.01')	crystals crystal
Synset('rule.v.04')	ruling found finds ruled find rulings rules finding
Synset('wonder.v.01')	inquire wonders inquiring wondering wondered
Synset('serve.v.05')	serves helping served helped helps serve serving
Synset('listen_in.v.02')	eavesdrop eavesdropping
Synset('want.v.05')	wanting wanted
Synset('state_of_matter.n.01')	state states
Synset('feel.v.01')	experiencing felt feel experience experiences experienced
Synset('ally.v.01')	ally allied
Synset('trouble.v.05')	pain trouble troubled pains troubles troubling
Synset('museum.n.01')	museums museum
Synset('increase.v.02')	increases increased increasing increase
Synset('mouse.n.01')	mouse mice
Synset('switch.v.06')	switches switched switch
Synset('obtain.v.01')	obtain obtained obtaining
Synset('nautical_mile.n.02')	mis mile knot mi miles
Synset('ripple.v.02')	bubble babble
Synset('shell.n.02')	shell shells
Synset('knight.n.01')	knights knight
Synset('support.n.11')	funding backing supports support
Synset('sophisticate.v.03')	doctor sophisticated doctors
Synset('share.v.02')	shared share sharing
Synset('produce.v.06')	producing produce
Synset('bit.n.11')	bits bit
Synset('seizure.n.04')	seizure seizures
Synset('understand.v.01')	understand understanding understood understands
Synset('nurse.v.01')	nurse nursing nurses
Synset('restaurant.n.01')	restaurant restaurants
Synset('claim.n.01')	claims claim
Synset('score.n.10')	score scores
Synset('digitize.v.01')	digitize digitized digitizing
Synset('push.v.02')	push pushing
Synset('wonder.v.02')	question questioned questions wondering wondered
Synset('provide.v.03')	providing provide provided
Synset('recognize.v.04')	recognised recognise recognized recognize
Synset('total.v.01')	number numbering total numbered totals coming
Synset('gesture.n.01')	gestures gesture
Synset('roar.v.01')	howling roaring roar howl
Synset('vote.n.02')	votes vote
Synset('quack.n.01')	quack quacks
Synset('carom.n.02')	cannons cannon
Synset('beat.v.16')	beaten beats
Synset('step.v.08')	step stepping
Synset('sink.v.01')	dropping dropped sunk sank
Synset('execration.n.02')	condemnation curses curse
Synset('parse.v.01')	parse parsing
Synset('subjugate.v.02')	subjected subject
Synset('help.v.01')	assisted aided assists helping assist helped helps aid
Synset('upgrade.n.04')	upgrade rise rises
Synset('alamo.n.01')	alamo alamos
Synset('hamburger.n.01')	burger hamburgers
Synset('drive.v.07')	driving drives drove driven drive
Synset('caterpillar.n.02')	caterpillar cats cat
Synset('consist.v.03')	consisted consists consist
Synset('emission.n.03')	emission emissions
Synset('tip.v.03')	feed fees fee tip tipped tips
Synset('rebel.n.01')	rebel rebels johnny
Synset('promoter.n.01')	boosters booster
Synset('dialogue.n.02')	dialog dialogue
Synset('trench.v.05')	trench ditch
Synset('call.v.09')	call called calls calling
Synset('thump.v.03')	pound pounds pounding poke
Synset('create.v.03')	created creating create
Synset('imagine.v.01')	imagine imagined
Synset('subscriber.n.02')	readers reader subscribers
Synset('striving.n.01')	striving pains
Synset('printer.n.01')	printers printer
Synset('recall.v.05')	recalled recall
Synset('project.v.03')	projected projects project
Synset('texture.n.05')	textures texture grain grains
Synset('eliminate.v.07')	eliminated eliminates eliminating eliminate
Synset('pair.v.04')	pair pairs
Synset('beatnik.n.01')	beat beats
Synset('web.v.01')	web net
Synset('pink.v.02')	pink knock knocking ping knocked
Synset('claim.v.01')	claiming claimed claims claim
Synset('erbium.n.01')	ers er
Synset('supply.n.01')	supplies supply
Synset('write.v.08')	wrote save writes
Synset('picture.n.01')	image images icon icons picture pictures
Synset('transport.v.02')	carried carries transported carry carrying
Synset('result.v.03')	resulted resulting
Synset('blessing.n.01')	approval approving
Synset('trench.n.03')	trench trenches
Synset('bind.v.03')	bind bound
Synset('speculation.n.02')	speculations speculation
Synset('question.n.03')	question interrogation questions
Synset('coat.n.01')	coat coats
Synset('engineer.v.01')	engineered engineers engineer
Synset('secrete.v.01')	releasing release released
Synset('partner.n.03')	partner partners
Synset('scout.v.01')	scouts scouting scout
Synset('water.n.01')	waters water
Synset('transform.v.06')	transform transforms transformed
Synset('pair.n.01')	pair pairs
Synset('construction.n.07')	buildings construction building
Synset('vanish.v.04')	disappeared disappear disappears vanish
Synset('mention.n.03')	mentions mention
Synset('plead.v.04')	plead pleading
Synset('homer.n.01')	homers homer
Synset('zone.n.02')	zone zones
Synset('tiger.n.02')	tiger tigers
Synset('seaport.n.01')	haven harbor
Synset('crash.n.05')	crashes crash
Synset('cover.v.01')	covering covered
Synset('bank.v.03')	bank banks
Synset('substantial.a.03')	material real substantial
Synset('propose.v.05')	proposing offer offers proposed offered proposes propose
Synset('printer.n.02')	printers printer
Synset('missionary.n.01')	missionaries missionary
Synset('suspend.v.02')	suspend suspended
Synset('sell.n.01')	sells sell
Synset('write.v.07')	wrote writes
Synset('symptom.n.01')	symptoms symptom
Synset('subscriber.n.03')	contributor contributors
Synset('preach.v.02')	advocating advocated advocates preach preached preaching advocate
Synset('credible.a.01')	credible believable
Synset('dare.v.02')	dared dare
Synset('approach.v.05')	approaching approached approaches approach
Synset('order.n.01')	orders order
Synset('replicate.v.02')	copies copied copying copy
Synset('rationale.n.01')	principle principles rationale
Synset('crash.v.09')	crashed crashes crashing crash
Synset('worldly.a.01')	secular worldly temporal
Synset('soldier.n.01')	soldier soldiers
Synset('sinus.n.02')	sinus sinuses
Synset('shroud.v.01')	cover hiding
Synset('idaho.n.01')	ids id idaho
Synset('referee.n.01')	ref refs referee
Synset('place.v.02')	places place
Synset('tower.n.01')	towers tower
Synset('poll.v.01')	polls poll
Synset('reduce.v.04')	reduce reduced
Synset('sell.v.05')	sold sells sell selling
Synset('shell.n.08')	shell case
Synset('dial.v.01')	dialing dial
Synset('preponderate.v.01')	outweigh outweighs
Synset('emerge.v.01')	emerge emerging
Synset('bind.v.04')	bind bound
Synset('make.v.38')	made makes
Synset('april.n.01')	apr april
Synset('rudiment.n.01')	abc alphabet
Synset('zone.n.03')	zone zones
Synset('supernumerary.n.02')	extra extras
Synset('vitamin.n.01')	vitamins vitamin
Synset('inning.n.01')	frames inning innings
Synset('allergy.n.01')	allergies allergy
Synset('glove.n.02')	gloves glove
Synset('noise.n.03')	noise interference
Synset('listen.v.01')	listening listened
Synset('resistor.n.01')	resistors resistances resistor resistance
Synset('obfuscate.v.01')	obfuscate obfuscated
Synset('description.n.02')	description descriptions
Synset('radiance.n.01')	glowing glow radiance
Synset('natural_process.n.01')	activity activities action actions
Synset('scientist.n.01')	scientists scientist
Synset('slither.v.01')	sliding slid slide
Synset('paragraph.n.01')	paragraph paragraphs
Synset('entree.n.02')	access admissions admission
Synset('drift.v.10')	drifted drift
Synset('industry.n.01')	industries industry
Synset('degrade.v.03')	cheapen degrade degrades
Synset('plant.v.05')	planted plants plant planting
Synset('structure.n.03')	structures structure
Synset('incarnate.v.01')	incarnate incarnated
Synset('volume.n.01')	volume volumes
Synset('roll.v.15')	rolling rolled
Synset('church.n.01')	church churches
Synset('record.n.01')	records record
Synset('detonator.n.01')	cap caps
Synset('weave.v.02')	tissues tissue
Synset('explanation.n.01')	explanations accounts explanation account
Synset('winnow.v.01')	fan fans
Synset('throw.v.08')	throwing threw throw thrown
Synset('mailer.n.03')	mailers mailer
Synset('policy.n.01')	policies policy
Synset('recall.n.01')	recalls recall callback callbacks
Synset('recognition.n.01')	acknowledgement recognition acknowledgment
Synset('invest.v.03')	invest clothing invested clothes
Synset('trench.n.01')	trench trenches
Synset('shot.n.05')	shooter shots
Synset('apostle.n.03')	apostle apostles
Synset('yankee.n.01')	yankee yankees yanks
Synset('reward.v.03')	reward repay rewarded
Synset('impact.n.01')	impact impacts
Synset('serve.v.02')	serves served serve
Synset('washington.n.02')	wa washington
Synset('suit.n.06')	suit suits
Synset('jacket.v.02')	jacket jackets
Synset('shade.v.02')	shading shade
Synset('barn.n.02')	bs barn
Synset('election.n.01')	election elections
Synset('observe.v.06')	keeping celebrate celebrated observing celebrating observe observed
Synset('compact_disk.n.01')	cd cds
Synset('sleep.v.02')	sleep sleeping
Synset('advantage.v.01')	advantages advantage
Synset('crash.n.03')	crashes collapse crash
Synset('scaling.n.01')	scaling grading
Synset('summarize.v.02')	summarized summarize summarizes summarizing
Synset('aspect.n.04')	aspect aspects
Synset('error.n.06')	error errors
Synset('sequence.n.03')	sequence episode sequences episodes
Synset('cord.n.02')	cord cords
Synset('sodium.n.01')	sodium na
Synset('head.v.07')	head heading headings heads headed
Synset('subject.v.01')	subjected subject
Synset('tag.n.05')	tag tags
Synset('apostle.n.02')	apostle apostles
Synset('transport.v.04')	ships send
Synset('structure.n.02')	structures structure
Synset('vanish.v.02')	disappear vanish
Synset('hut.n.01')	hut huts
Synset('present.n.01')	nowadays present presents
Synset('policy.n.02')	policies policy
Synset('realize.v.05')	realised realise
Synset('suction_stop.n.01')	clicks click
Synset('control_condition.n.01')	controls control
Synset('trench.n.02')	deep trench
Synset('sea.n.01')	seas sea
Synset('put_on.v.07')	applies applied apply
Synset('tag.n.04')	tag tags
Synset('utah.n.01')	utah ut
Synset('socialist.n.01')	socialists socialist
Synset('tin.n.01')	tin sn
Synset('bill.n.07')	bill bills
Synset('rival.n.01')	contenders competitors competitor challenger competition contender
Synset('democracy.n.01')	democracy democracies
Synset('recording.n.03')	recordings recording
Synset('invite.v.04')	invited invite bid
Synset('love.v.03')	love loving loved loves
Synset('category.n.02')	categories category
Synset('fund.v.02')	funding fund funded funds
Synset('loan.n.01')	loan loans
Synset('manipulate.v.05')	manipulating control manipulated manipulate
Synset('limit.v.02')	confined limited limit limiting confines limits
Synset('wait.v.01')	wait waiting waits waited
Synset('refer.v.03')	referring refers refer referred
Synset('tug.v.02')	driving drives drove tug driven pushed drive push labour
Synset('hope.n.06')	hopes hope
Synset('turn.n.09')	bout round turn turns
Synset('produce.n.01')	produces produce
Synset('imprint.v.01')	forming formed
Synset('frighten.v.02')	frightening frightened
Synset('set.v.04')	marked set mark
Synset('wind.v.02')	curves curved curve
Synset('wreath.n.01')	lei coronal
Synset('system.n.01')	system systems
Synset('access.v.01')	accessing access accessed accesses
Synset('shake.v.01')	shake shook
Synset('belt.n.03')	belt belts
Synset('drive.v.03')	driving drives drove driven drive
Synset('servicing.n.01')	services servicing
Synset('man.v.01')	manning manes manned man
Synset('opening.n.01')	gap gaps opening
Synset('stamp.n.03')	impression impressions
Synset('address.n.02')	addresses address
Synset('agreement.n.06')	agreement agreements
Synset('friend.n.01')	friend friends
Synset('organism.n.01')	organism organisms beings
Synset('shock.v.03')	shocking shocked
Synset('squid.n.02')	squid squids
Synset('attribute.n.02')	attributes attribute
Synset('holiday.n.02')	holidays holiday
Synset('free-base.v.01')	based basing
Synset('man.v.02')	manning manned
Synset('surgical.a.02')	surgical operative
Synset('medication.n.02')	medications medication
Synset('dissuade.v.01')	deter deterred
Synset('production.n.07')	production productions
Synset('explanation.n.03')	explanations explanation
Synset('throw.v.06')	throwing switching flipped threw throw switches thrown switched flipping throws flip switch
Synset('spy.v.04')	spied spy
Synset('token.n.01')	item items token
Synset('forecast.v.01')	calculating calculate
Synset('absorb.v.05')	absorb absorbed
Synset('mother.n.01')	mother mothers
Synset('network.v.01')	networking networks networked network
Synset('surf.n.01')	surf breaker
Synset('tank.v.01')	tanks tank
Synset('observe.v.08')	maintain observing maintaining observe
Synset('review.n.09')	reviews review
Synset('fund.v.03')	funding fund funded funds
Synset('surprise.v.01')	surprise surprising surprises surprised
Synset('command.v.01')	commanded command commands
Synset('martyr.n.02')	martyr martyrs
Synset('venous_sinus.n.01')	sinus sinuses
Synset('vector.n.01')	vectors vector
Synset('myth.n.01')	myth myths
Synset('water.n.06')	waters water
Synset('homosexual.n.01')	gays homo homosexual gay homosexuals
Synset('set.v.05')	set setting
Synset('proposal.n.01')	proposal proposals
Synset('pay.v.10')	paying paid pay pays
Synset('contact.n.03')	contact contacts
Synset('minute.n.01')	mins min minutes minute
Synset('exist.v.01')	exist existing exists existed bees
Synset('section.n.10')	section sections
Synset('steel.v.01')	nerves steel
Synset('last.v.01')	enduring endure lasted lasting
Synset('surrender.v.01')	surrendered surrender
Synset('transformer.n.01')	transformers transformer
Synset('silver.n.01')	ag silver
Synset('squid.n.01')	squid squids
Synset('minister.n.02')	minister ministers
Synset('fire.n.04')	fires fire
Synset('egg.n.01')	eggs egg
Synset('roll.v.14')	rolling roll rolled rolls
Synset('linear.a.01')	linear additive
Synset('intellectual.n.01')	intellect intellectuals intellectual
Synset('snap.v.10')	clicked clicking
Synset('gate.v.03')	gates gate
Synset('simplify.v.01')	simplified simplify
Synset('videotape.v.01')	videotaped videotape
Synset('fit.n.03')	fit fits
Synset('surprise.v.02')	surprise surprising surprises surprised
Synset('transmitter.n.03')	sender transmitter
Synset('relieve.v.01')	relieve alleviate
Synset('clinic.n.02')	clinics clinic
Synset('gauge.n.01')	gauge gauges
Synset('tent.n.01')	tent tents
Synset('event.n.01')	event events
Synset('pervert.v.03')	abuse misused abuses misuse abusing abused
Synset('placard.v.02')	bill billing
Synset('boil.v.01')	boiling boil
Synset('credit.n.08')	credits credit
Synset('engine.n.04')	engine engines
Synset('escape.v.07')	escaped escaping
Synset('sleeve.n.01')	sleeve arms arm sleeves
Synset('possession.n.01')	possessions ownership possession
Synset('manufacture.v.01')	manufacture constructing constructed manufacturing construct constructs manufactures manufactured
Synset('wild.a.02')	wilder wild
Synset('textbook.n.01')	textbook text textbooks
Synset('gold.n.03')	gold au
Synset('refugee.n.01')	refugees refugee
Synset('sports_fan.n.01')	fan fans
Synset('interrupt.v.03')	disrupt interrupted
Synset('fund.v.05')	funding funded
Synset('rate.v.01')	rated ordering rating ranked rank ranking
Synset('fall.v.31')	falling falls
Synset('chronicle.v.01')	chronicles chronicle
Synset('aim.n.03')	aims aim
Synset('claim.v.03')	claiming claimed claims claim
Synset('philosophy.n.02')	philosophies philosophy
Synset('server.n.03')	server servers hosts host
Synset('pose.v.03')	pose poses posed posing
Synset('miss.v.06')	lacking lacked
Synset('information.n.01')	information info
Synset('quote.v.04')	quoted quoting quote
Synset('passport.n.02')	passport passports
Synset('strait.n.01')	sounds sound strait
Synset('reading.n.03')	indications readings reading indication
Synset('question.n.01')	inquiries enquiries inquiry query queries
Synset('magnetic_disk.n.01')	disk disks disc
Synset('nail.n.02')	nail nails
Synset('tap.v.06')	tapes tapped taped tap tapping taps
Synset('device.n.01')	devices device
Synset('matter_to.v.01')	interest interesting interested
Synset('obey.v.01')	obey obeyed obeying
Synset('wasp.n.02')	wasp wasps
Synset('listening.n.01')	listening hearing
Synset('quote.v.03')	quoted quoting quote cites cited citing cite quotes
Synset('ride.v.02')	riding rode rides ride ridden
Synset('refer.v.04')	referring refer referred
Synset('sediment.n.01')	deposit deposits
Synset('vector.n.03')	vectors vector transmitter
Synset('nitrogen.n.01')	ns nitrogen
Synset('radius.n.01')	rs radius
Synset('slash.v.01')	slashing slashed
Synset('drug.v.01')	drugs drug
Synset('silicon.n.01')	silicon si
Synset('treaty.n.01')	pact treaty accord treaties
Synset('work.v.19')	worked working workings
Synset('cross.n.03')	cross crosses
Synset('temper.v.04')	temper season
Synset('paint.v.04')	painted paint
Synset('pop.v.12')	popping popped
Synset('limitation.n.02')	limitation limitations
Synset('point.v.09')	pointed pointing point points
Synset('crew.n.01')	crews crew
Synset('abstraction.n.01')	abstracts abstraction abstract
Synset('psychoanalysis.n.01')	analyses analysis
Synset('reform.v.05')	reform reforms
Synset('prognosis.n.01')	forecast prognosis
Synset('report.n.02')	reports report accounts
Synset('spy.v.03')	spied spying sight sighted sightings sighting spy
Synset('trouble.n.01')	problem problems
Synset('penguin.n.01')	penguins penguin
Synset('joint.n.01')	joint joints
Synset('deep.a.03')	deep deepest deeper
Synset('diet.n.03')	diet diets
Synset('jewel.n.02')	gems gem
Synset('seal.n.09')	seals seal
Synset('question.n.02')	question questions
Synset('tremble.n.01')	shake shiver
