Synset('november.n.01')	november denver nov
Synset('qualify.v.06')	characterized characterizing characterize precisely characterizes data categorization student characterised
Synset('assignment.n.02')	valid total cost assignments favor sutton assignment 7x7 one-to-one credit lane
Synset('warhead.n.01')	load payload loads simply
Synset('owl.n.01')	figure barn owl owls axis
Synset('prism.n.02')	prisms prism
Synset('gyrus.n.01')	convolution convolutions
Synset('startle.v.02')	green comparison jumps jump
Synset('restrain.v.03')	holding component confined held confine point
Synset('promote.v.01')	blind hidden advanced experiments solla advance lippman pages encouraged encourage variety defense advances model vector boosted moving results programming editors encouraging exponentially encourages boosting giles initial planning strongly boost family fashion
Synset('succeed.v.02')	succeeds succeed succeeding model succeeded
Synset('sufficient.a.01')	call decision depolarization sufficient inhibition eptesicus prevents epochs neurons
Synset('tension.n.04')	tension tensions
Synset('simulation.n.02')	simulation simulations
Synset('august.n.01')	aug cognitive august massachusetts seattle
Synset('wall.v.01')	surrounding surrounded surroundings surrounds surround
Synset('conference.n.01')	conference inference environments aip learning networks ieee integrated 15th systems perceptual annual net international fifteenth models proc fourteenth european comparing al speech stanford ninth vlsi
Synset('reference.n.06')	extension criterion allen references functions optimal hughes administration james discussions affecting threshold learning minimized networks dr research required reference number paris award 1994 function classifier term predictor text modifications figure center contract fellowship predictions divergence nasa clinical extensions examples mcdonnell techniques organization le u.s grant 21
Synset('id.n.03')	ids id
Synset('virginia.n.01')	vas sm va virginia
Synset('ability.n.01')	abilities sophisticated solving enhances ability pals human computational network
Synset('integral.n.01')	definite integral integrals
Synset('awake.a.01')	cortex visual awake
Synset('graduate.v.01')	graduate graduated national
Synset('yield.v.01')	average yielding method strength threshold randomness yielded giving filter afforded problem inactive afford si increasing yield yields maximizes gave responses xor
Synset('synchronize.v.01')	synchronized synchronize
Synset('letter.v.02')	review letter clustering letters
Synset('trip.v.04')	sparks triggered activate activating directly activates activated triggering
Synset('help.v.03')	facilitate selection stimuli facilitates facilitated facilitating interactions
Synset('shock.n.02')	impact frequency
Synset('expect.v.04')	expect expected expects
Synset('prey.v.01')	output fed feeding feeds
Synset('defense.n.03')	strategic defense department
Synset('cleveland.n.01')	figure cleveland
Synset('text.n.02')	providing texts profiles context text
Synset('wave.n.01')	waves wave
Synset('rome.n.01')	rome institute
Synset('canada.n.01')	sequence canada
Synset('bias.v.01')	biasing biased
Synset('shell.n.01')	shells shell simulation
Synset('know.v.03')	models period beginning optimal knew stimulus bound consistent collection basis noisy knowing layers subset clusters drift addition
Synset('rhodes.n.01')	156 158 rhodes
Synset('hole.n.03')	hole holes
Synset('schedule.n.02')	schedule paris freeze schedules 1000 noise learning annealing
Synset('formation.n.06')	1993 formation demonstrate
Synset('north_atlantic_treaty_organization.n.01')	blueprint nato
Synset('wrinkle.v.02')	crease creases creased creasing crisp
Synset('try.v.01')	attempting sought attempted networks attempt seek seeking expensive network attempts
Synset('jerusalem.n.01')	jerusalem recognition
Synset('male.a.01')	maler male
Synset('hit.v.03')	hits hit hitting
Synset('hinge.n.01')	hinge hinges
Synset('bound.v.02')	border cases scheme large borders 3.1 bounds universal bounded bounding
Synset('expansion.n.02')	expansions expansion
Synset('eye.n.02')	eye eyes
Synset('high_gear.n.01')	small boundary give making large achieve start conf involve point high low strongly jh adds
Synset('time.n.05')	average plotted subject 1000 loo 350 space santa button times yo function averaged 10 drift 12 wx models 8000 expected refresh real specific unit horizontally median 324 700 increasing fixation integration preceding fixed correction
Synset('computer-aided_design.n.01')	natural cad
Synset('stretch.v.02')	extend extended
Synset('unfold.v.04')	pronunciation natural ming unfolding spreading model unfolded open
Synset('baltimore.n.01')	baltimore information
Synset('drive.v.09')	driving driven drive
Synset('half.n.02')	halves single candidate separating half paper selection yield upper positive occurs hypothesis
Synset('scenery.n.01')	exist components detection scenes visual training 3-dimensional scene
Synset('retina.n.01')	silicon retina vertebrate model retinas entire e.g
Synset('isolate.v.04')	isolate isolated
Synset('rich.a.07')	richer rich
Synset('resistive.a.01')	digital analog hybrid individual resistive simple
Synset('interpolate.v.02')	interpolates interpolated interpolating settle interpolate
Synset('step.v.07')	discrete average step
Synset('assignment.n.05')	assignments assignment
Synset('interconnection.n.01')	interconnection interconnections
Synset('count.v.04')	counting components ica counts count counted
Synset('slow.a.01')	slow slower
Synset('mining.n.01')	work mining
Synset('star.n.05')	star stars ro
Synset('feature.n.06')	similar features set paper feature interesting tree mv early
Synset('card.n.01')	cards card
Synset('crystal.n.01')	crystals crystal
Synset('stage_set.n.01')	larger providing solving irrelevant circuit shaped screen collected training decomposition layer reproduce features apriori experiment low rate disjoint convex generalize 50 train models images set sets apply assignment squares index sample peaks fukunaga relevant performance lattice permissible family implies choice reducing
Synset('basin.n.03')	basin basins
Synset('symmetry.n.01')	correspondences balance 1982 symmetry symmetries correspondence completely
Synset('serve.v.05')	ical sets helping serves served helped helps serve
Synset('finance.n.02')	medicine finance problems
Synset('quilt.n.01')	puff changing puffs
Synset('wangle.v.01')	real-world managed managing manage
Synset('steel.n.01')	steel steels
Synset('morphology.n.04')	hybrid morphology morphologies
Synset('association.n.08')	associations statistical association theory
Synset('wave.n.02')	waves wave
Synset('motor_neuron.n.01')	individual patterns cat motoneurons inhibition boundaries
Synset('match.n.02')	match matches
Synset('stimulate.v.04')	stimulating stimulated filters support stimulate
Synset('state_of_matter.n.01')	internal correct neural sequential achieve upper neuron generator learning penalized ieee states network mode output current induction factored paper desired multiplied behavioral chaotic quantize vector state steady selected architecture area solid initial pseudo-random assump bits weights noisy colorado dissimilar discrete input koller provide sensory stable binary final
Synset('feel.v.01')	cell region experience experiences experienced
Synset('trouble.v.05')	pain ail
Synset('increase.v.02')	increased increasing 4b order
Synset('obtain.v.01')	obtains obtain 100 efficiency cost recognition information obtained close obtaining case
Synset('metier.n.02')	medium media
Synset('oxford.n.01')	oxford cognitive 346 academic north york press
Synset('nautical_mile.n.02')	columnar mr michigan mis knot mi knots 10 miles
Synset('future.n.03')	directions future densities
Synset('mellon.n.01')	based technical mellon science carnegie
Synset('bit.n.11')	refractory input bits bit message word frequency
Synset('sibling.n.01')	siblings sibling
Synset('replication.n.07')	result replication replications simple 10
Synset('understand.v.01')	propagation theoretical work understand understanding understood
Synset('comparable.a.01')	input builds procedure error slowly comparable
Synset('attentive.a.01')	originating priming attentive
Synset('ben.n.01')	11 ben
Synset('unfold.v.03')	phasic unfolding stretching unfolded extended extend stretch measures stretched extends paper techniques extending
Synset('interpolate.v.01')	interpolates interpolated interpolating interpolate
Synset('digitize.v.01')	digitized digitizing
Synset('lattice.n.01')	ar process lattice laminar lattices pixel hexagonal
Synset('retinene.n.01')	retinal shapley 1989
Synset('wonder.v.02')	question questions
Synset('general.a.01')	general psychology connection extreme
Synset('provide.v.03')	providing data dimensional distance provided fii ganglion learning representation approach research frequency connectivity scope classifier transformed definition examined mechanism dimension interneurons imposing process linear set initial kernel expected hyperplanes control simulations input m.s selection provide answer stage clas service instrumental cortical support gaussian
Synset('expansion.n.01')	confined multi-chip generalization official expansions slowest expansion
Synset('accurate.a.01')	provide accurate sets unsuitable tracker generating
Synset('fall.v.01')	falls fall
Synset('total.v.01')	total suppressing numbered rates reduces coming
Synset('gesture.n.01')	gestures gesture
Synset('investor.n.01')	investor individual
Synset('situate.v.01')	locating goal locate conditional locates point situated running depth directions median untuned located
Synset('barium.n.01')	selection training ba
Synset('sink.v.01')	dropping dropped
Synset('exabyte.n.01')	bound eb
Synset('parse.v.01')	i.e figure learn section generating parse parsing massively current final parsed complete partial discuss
Synset('relate.v.05')	cortex relate related relating relates equation
Synset('upgrade.n.04')	give integral quantum rise giving rises potential cie
Synset('alamo.n.01')	los laboratory net modelling alamos
Synset('drive.v.07')	driving drives driven drive
Synset('caterpillar.n.02')	cats anesthetized neuronal 18 cat neuron fields properties
Synset('transducer.n.01')	transducer transducers
Synset('consist.v.03')	consisting consists consisted consist
Synset('tip.v.03')	feed tipping perturbation forward tip popular tips
Synset('alphabet.n.01')	discrete alphabets letter classifier alphabet ternary
Synset('jordan.n.02')	1998 mozer society jacobs school jordan m.i learning units networks
Synset('wall.n.01')	walls obtained wall
Synset('promoter.n.01')	promoter promoters
Synset('call.v.09')	call quantity called calls entities calling
Synset('validate.v.02')	validated validate
Synset('bifurcation.n.03')	output bifurcation modeling performance bifurcations iteration
Synset('request.v.01')	request requested requests
Synset('size.v.02')	size sized
Synset('imagine.v.01')	imagine recognition
Synset('message.n.01')	receive components negation environmental multiple match networks message matches sends post classifier messages matched rn
Synset('subscriber.n.02')	subscriber 400 variety readers subscribers simulation reader
Synset('test.n.02')	tests test
Synset('view.v.02')	considers considered viewed viewing
Synset('recall.v.05')	recalling recalled
Synset('project.v.03')	projected projects activity project obtained projecting research
Synset('texture.n.05')	1998 practice textures texture grain striate
Synset('eliminate.v.07')	naturally eliminated eliminates lesions eliminating reduced eliminate completely
Synset('conversation.n.01')	conversations conversation
Synset('accumulation.n.04')	calcium accumulation conductance
Synset('erbium.n.01')	associates science ers er
Synset('support.n.01')	supports support
Synset('supply.n.01')	environment money supplies supply
Synset('orbit.n.01')	orbits orbit
Synset('july.n.01')	genetic 36 france july establishment ca
Synset('decay.n.04')	argument linear interesting cou 1990 weight decay weights neurons controlled nodes asymptotic decays potential incremented
Synset('picture.n.01')	image images pictures picture
Synset('generalization.n.02')	1996 1995 generality generalisation generalizations generalization substantial
Synset('stripe.n.02')	stripes major stripe
Synset('computational.a.01')	pruning ease purely coherent main simple optimization annual discrimination graded collective net editors introduction computational reduce set large workshop stimulus interesting center 1990 labeled distributed target single entry convenient 1989
Synset('critical.a.02')	sigmoidal genome process critical additional define zhang terminate
Synset('transport.v.02')	carried carries carry carrying
Synset('result.v.03')	resulted computed motion latency units resulting voltage vectors problem null solution predict attractors potential runs
Synset('speculation.n.02')	boundary 683 conjecture earlier intriguing
Synset('question.n.03')	question questions
Synset('engineer.v.01')	engineers engineer
Synset('sword.n.01')	steel brand
Synset('edge.n.03')	edge edges
Synset('ration.n.02')	rations ration
Synset('tilt.n.04')	lists leaning tilt list linked
Synset('matrix.n.01')	strength approximate construct synaptic relation output loss hz tables find hadamard rank modified connection calculated selected synapse slope remaining resulting square unit system 1983 plant fixed singular rn evaluate covariance matrix cen symmetric unknown admissible 10x10 orthogonal systems row matrices permutation product cost initial assignment makes invertible filters transition autocorrelation dissimilarities norms regression diagonal randomly misclassification
Synset('transform.v.06')	ii motor components mapping efficiency data superposition wta transforms propose seeking transforming capacity output transform glint estimator bat sensory tin transformed basic reversed 3.9
Synset('pair.n.01')	rejecting methods matched pairs pair
Synset('construction.n.07')	constructions construction building
Synset('instruct.v.02')	instructed data subject trainer subjects
Synset('tolerance.n.04')	performance grid tolerance establish
Synset('stick_out.v.01')	projected data project model projecting
Synset('feedback.n.01')	feedback negative system pass auditory feedforward finally rule complete recurrent substantial hebbian
Synset('failure.n.02')	failures failure decoder
Synset('vanish.v.04')	vanishes disappeared disappear disappears vanish
Synset('sequence.n.01')	sequence sequences
Synset('junction.n.01')	junction junctions
Synset('unite.v.05')	search united unifying unified unify depicted simple levinson perception
Synset('compound.n.01')	compound waveform
Synset('understate.v.01')	minimize opposing minimises minimising learning minimized system shown directions minimised minimise minimizing basic parameters calculated minimizes ratio
Synset('zone.n.02')	zone zones well-defined
Synset('rat.v.01')	rated ratings
Synset('direction.n.02')	average fi activity vertical correspond transparent coding features orthogonal desired net results preferred direction figure motion depends opposite 360 120 population wrong directions stage 60 evaluating movement
Synset('seaport.n.01')	haven harbor
Synset('zip_code.n.01')	zip 1989
Synset('cover.v.01')	covering covered distribution
Synset('limitation.n.04')	limitation limitations
Synset('operation.n.04')	reduce symbol mapping opposing modes synchronous ls rapid index range 8b executed operations 80 machines aligned operation permitting account non-linear
Synset('phrase.n.01')	phrase phrases
Synset('substantial.a.03')	suc material real substantial
Synset('tune.n.01')	melodies melody
Synset('aggregate.v.01')	aggregating aggregated
Synset('scope.n.01')	wide reaches ranges reach values understand range informative synapse accept momentum target hold world measure compass orbits function scope dynamic orbit randomly theory
Synset('work.v.09')	worked working
Synset('stage.n.03')	offset bimodal simulation summing fin inverter opposite nearby gain directions stage 842 implemented stages activate processing receives multiplication activation support
Synset('observer.n.02')	observer observers
Synset('bottleneck.v.01')	bottleneck bottlenecks
Synset('research.v.01')	ll functions advanced experimental office research graduate visual injury net algorithm computational area ad work acknowledgements engineering essen analysis vision external cognitive naval science processing support motor components retinal sophisticated technical pursuit robotics classical training global network discus computer communications current journal defense behavioral belief early process decision center acknowledgments brain describes onr ibm speech future activities siemens succeed report clustering pdp movement represent
Synset('order.n.14')	n-th optimal unknowns unitary recognition decay learning manner matrix solla required differential arpa number 1993 excess roughly jordan easily model mechanism human temporal cascaded order lower constructive reduced combining consistent schemes vapnik classification differed sorted 1,000 left-to-right 1.6 orders higher
Synset('pull.v.09')	pulled probability draw imaging network pulls pull central examples drawings function drawing pulling draws drawn
Synset('symptom.n.01')	symptoms 1982
Synset('preach.v.02')	advocated advocate
Synset('approach.v.05')	approaching limit approached approaches units approach
Synset('replicate.v.02')	replicate copies copied replicating copy bootstrap replicates replicated
Synset('sunday.n.01')	sun monday
Synset('rationale.n.01')	principle principles rationale
Synset('calibrate.v.02')	calibrate baseline calibrated
Synset('frontier.n.03')	frontiers frontier
Synset('ring.n.07')	rings ring
Synset('worldly.a.01')	resulted figure ing method learned convergence investigating ai show exhibits extraction high response varies temporal conversion
Synset('whole_wheat_flour.n.01')	previous university 2.3 graham capacity
Synset('logarithm.n.01')	white logarithm circles logarithms
Synset('place.v.02')	place placing
Synset('reduce.v.04')	reduce reduced reduces simplifying
Synset('wide.a.01')	wider successfully data wide test show technique bit relationships unsupervised broad broader account relative
Synset('medium.n.03')	medium media
Synset('score.n.03')	22 34 largest score 14 scores 19 2.5 tracks energy matching
Synset('rule.n.11')	boolean formulae formulas formula
Synset('stuart.n.03')	kendall tm stuart
Synset('page.n.01')	editor pages page international
Synset('recording.n.01')	recordings recording
Synset('bind.v.04')	binds bind bound
Synset('seat.n.01')	places place
Synset('moss.n.01')	moss simmons
Synset('relationship.n.01')	exponential figure scaling implementation pool experimentally recursive controlled formal relationships sounds tuned vowel stronger effect typical model fourier relationship close mathematical
Synset('april.n.01')	4-22 apr computing kaufmann april
Synset('compound.n.02')	animals compound
Synset('combination.n.01')	combinations combination
Synset('berkeley.n.02')	berkeley hall
Synset('morphology.n.01')	morphology morphologies
Synset('diverge.v.02')	diverges diverge diverging
Synset('standing.a.05')	standing long
Synset('zone.n.03')	zone estimate model zones
Synset('autonomic_nervous_system.n.01')	driving formulate ans training teaching
Synset('valid.a.01')	valid ensure size em
Synset('spectrum.n.01')	spectra spectrum force compound
Synset('inning.n.01')	frames frame
Synset('perform.v.03')	performs perform performed layer
Synset('sing.v.02')	sing birds
Synset('noise.n.03')	disturbance cue disturbances efficiency noise interference noises table 10
Synset('resistor.n.01')	controlled external resistors high linear variable resistances resistor resistance
Synset('description.n.02')	circuit series reversible description simple informal descriptions 1988
Synset('mismatch.v.01')	mismatches mismatch transistor gain
Synset('generator.n.02')	number pattern generators generator
Synset('natural_process.n.01')	cluster functions sufficiently fig cycling event-related spontaneous synaptic spike temporally number problem denote action model programming e.g i.e ensuing large distributed oscillatory underlying longer combinations selection transient spectrum background ground actions sums works activity neural session choose cell postsynaptic intensities lot result search total pooled parallel trainer induced term post-synaptic dimension early clusters motion neuronal performing inhibition orm site stage response activities stored firing location axon
Synset('scientist.n.01')	cognitive speech scientists scientist information
Synset('community.n.06')	learn neuroscience community research communities
Synset('unite.v.06')	merge merged merges
Synset('paragraph.n.01')	paragraph paragraphs
Synset('fragment.n.01')	fragment fragments distribution
Synset('drift.v.10')	negative application drifting drifts weights capacitor drift voltage
Synset('charge.v.23')	charge charging charged
Synset('industry.n.01')	industries industry
Synset('degrade.v.03')	system noise classifier degraded degrade degrades
Synset('plant.v.05')	plants plant
Synset('structure.n.03')	discover figure structures correlational brain networks echolocating structure secondary general interpolation 1.2 sensory cortical olfactory architectural primary architecture
Synset('volume.n.01')	volume volumes
Synset('peer.n.01')	components original set environmental level profile additional match active language covariance units bit matches network equal input field function equals classifiers classifier things assist
Synset('record.n.01')	records record
Synset('sketch.v.02')	outlines figure outline outlined sketched differentiating locations proof sketch
Synset('weave.v.02')	tissues tissue
Synset('explanation.n.01')	explanations accounts explanation account
Synset('winnow.v.01')	fan winnow
Synset('policy.n.01')	splitting static linear efficient parr establishing representing policies learning constantly adapted policy shortest
Synset('recall.n.01')	extension 1994 curve recall associative information obtained capacity architecture
Synset('recognition.n.01')	acknowledgement inference pomerleau recognition retraining choose intracortical neurons number loss dam teacher observations implementable fluid lines net matrices circuits 10 algorithm normal ac iris processes original address nature level expected length difficult modeled acknowledgements acknowledgments expense march 1008 661 yuan 200 conventional produces easier designs movement applications acknowledgment
Synset('follow.v.18')	follow point
Synset('axis.n.01')	axes axis
Synset('invest.v.03')	invest invested stocks
Synset('reversal.n.05')	reversals reversal task
Synset('statistics.n.01')	annals convergence training consistent sensitive networks classification observed society 1996 economics 102 performance variance sensory 91 construction location computational 1988 statistics
Synset('powerful.a.01')	powerful initial basis
Synset('include.v.01')	include including includes included
Synset('reward.v.03')	reward rewarding rewarded rewards
Synset('experience.n.02')	experience experiences
Synset('yard.n.01')	pace nearby
Synset('observation.n.04')	observation observations
Synset('vessel.n.03')	number vessel
Synset('evidence.n.03')	hill components tests evidence accurate perfect log experimental supporting evidences targets
Synset('trade.v.04')	trading traded
Synset('version.n.02')	mild expected edition variants degraded noisy presentations version variation size versions variations variant stochastic modified
Synset('perturbation.n.02')	con 1995 perturbation 1992 perturbations
Synset('serve.v.02')	serves served serve serving
Synset('washington.n.02')	distance wa
Synset('subsequent.a.01')	ensure pre-exposure behaviors subsequent burst cell
Synset('result.v.01')	resulted background resulting
Synset('suit.n.06')	wearing suit suits
Synset('atom.n.01')	atom atoms
Synset('barn.n.02')	bs barn 614 manner 150
Synset('charge.v.24')	charges charge 0.5 charging basic charged
Synset('landmark.n.04')	sutton landmarks landmark
Synset('observe.v.06')	observes forming con generalization keeping speedup observing incorporate observe observed
Synset('skip.v.05')	skip skipping
Synset('advantage.v.01')	advantages advantage williams takes
Synset('regularize.v.02')	regularize regularizing regularized
Synset('crash.n.03')	examples collapses rise collapse
Synset('regulate.v.01')	modulated junction modulates modulate regulates regulated regulate channel modulating direction
Synset('ordinal_number.n.01')	regression ordinal
Synset('mod.n.01')	mod forward 1991
Synset('trade.v.03')	trading trade traded
Synset('summarize.v.02')	summed df fig summing summarized summarizing summarised stopping summarize summarizes results table full
Synset('aspect.n.04')	aspect aspects length rhythmic
Synset('error.n.06')	obs retraining decay choose type error branching compute edge solution overlaps factor close ghosh minimize reduce eliminated figure regime lower weights samples performance asymptotic sensory leads choice parameters movement errors relative
Synset('attractor.n.02')	models attractor quantitative detecting feed-forward learning attractors behavior
Synset('spectrum.n.02')	single spectra hz interestingly theorem 15 1994 spectrum consistent estimating serving
Synset('sequence.n.03')	wiley sequence dna domain episode durbin sequences temporal episodes flash
Synset('cellular.a.02')	cellular brain prolonged
Synset('sodium.n.01')	100 sodium current na
Synset('head.v.07')	head heading
Synset('tai.n.02')	components tai
Synset('certainty.n.01')	strong certainty
Synset('structure.n.02')	models structures structure
Synset('size.v.03')	size sizes sized
Synset('vanish.v.02')	vanishes disappeared disappear disappears vanish
Synset('layer.n.05')	superficial cortex hundred caudal initial normalize dendrites layers divide spatial layer e.g
Synset('whittle.v.01')	pare pared 416 whittle
Synset('polynomial.n.01')	outputs number primitive polynomials polynomial multinomial tasks hurt multi
Synset('present.n.01')	component haussler considered 0.01 deemed developed present presents
Synset('critical.a.06')	critical fig
Synset('keep.v.07')	keeping chopping
Synset('compartment.n.02')	compartment compartments
Synset('expert.n.01')	expert hierarchical experts mixtures
Synset('policy.n.02')	policies policy
Synset('dissipation.n.01')	power dissipation
Synset('satisfaction.n.01')	1998 satisfaction
Synset('compartment.n.01')	compartment compartments
Synset('suction_stop.n.01')	clicks click
Synset('encourage.v.02')	encourages encouraged encourage
Synset('control_condition.n.01')	motor successfully controls accurate intermediate fixed control maintaining gain
Synset('follow.v.06')	figure tuned fixed
Synset('development.n.07')	developments development
Synset('consideration.n.01')	consideration considerations
Synset('pixel.n.01')	extent cluster original values adjacent 4x4 pixels 0.2 128 fixed pixel 20 10
Synset('traffic_pattern.n.01')	algorithms pattern training lee ieee network number adaptive general central vector dependent results temporal incoming 1v topology patterns ai 1990 significant single input colleagues efficiently 1989 problems
Synset('heterodyne.v.01')	image scheme implementation
Synset('constriction.n.01')	bottleneck bottlenecks
Synset('south_carolina.n.02')	sc test
Synset('identity.n.02')	initialised identities individual identity
Synset('tag.n.04')	tag tags
Synset('utah.n.01')	utah ut
Synset('tin.n.01')	motion tin transformed sn tins
Synset('synchronize.v.04')	synchronizing synchronize
Synset('rival.n.01')	competitors selection competitor
Synset('experience.n.01')	limited experience experiences early 1967 sram
Synset('diversify.v.03')	specificity broadening
Synset('recording.n.03')	set sensory recordings electrophysiological direct recording potential chronic
Synset('artifact.n.01')	artifact intensity af ica 1991 traces isolated camera artifacts
Synset('pendulum.n.01')	task equilibrium pendulum
Synset('request.n.01')	request requests
Synset('regulate.v.02')	ordered govern regularize ordering regulate orderings regularized governing regulates schunck regularizing governs governed
Synset('induce.v.04')	induces induce induced inducing
Synset('vertebrate.n.01')	vertebrate vertebrates
Synset('advice.n.01')	give advice insightful
Synset('attractive.a.03')	attractive active
Synset('stay.n.05')	stays stay
Synset('category.n.02')	natural individual cross arbitrary produce influence general cue response presented categories labelling category potential
Synset('test.v.06')	tests test tested
Synset('minimization.n.01')	minimization minimisation 1989
Synset('stead.n.01')	places place
Synset('fund.v.02')	funding funded
Synset('manipulate.v.05')	manipulating manipulated manipulate
Synset('contraction.n.04')	contraction contractions
Synset('limit.v.02')	models confined limited limit company confine limiting swinging approach limits
Synset('try.v.08')	renders rendered rendering render
Synset('refer.v.03')	patterns curvature referring curves glint refers refer apparently thrust categories ol table referred
Synset('tug.v.02')	driving drives driven drive
Synset('optimize.v.01')	optimize optimized optimizes optimizing optimise optimising
Synset('constellation.n.02')	constellation constellations
Synset('turn.n.09')	bout stage turn turns
Synset('counter.n.07')	counters counter
Synset('produce.n.01')	produces produce
Synset('imprint.v.01')	forming formed
Synset('set.v.04')	marked marking set sets curve 91 marks mark setting
Synset('extraction.n.01')	facilitate component unsupervised extraction
Synset('editor_program.n.01')	editor donald iris neural feigenbaum learning variability houk network lippman traditional sian chan press editors cowan
Synset('layer.n.02')	jm hidden trained pomerleau upper adjacent cell layer multi network output special input top removed final layers fixed
Synset('user.n.01')	ann performance achieve moved user users fully
Synset('minimize.v.03')	minimize minimizing minimized minimizes
Synset('system.n.01')	high-performance asr current system theoretical systems future typical stochastic hmm processing
Synset('access.v.01')	accessing weights accessed circuits
Synset('success.n.01')	successes success subnets great
Synset('juggle.v.02')	robot juggling
Synset('october.n.01')	oct october
Synset('acid.n.01')	acid acids
Synset('conditioning.n.01')	hippocampus conditioning context pavlovian classical
Synset('hemoglobin.n.01')	protein hb
Synset('princeton.n.01')	laboratory princeton university center
Synset('bulge.v.02')	bags bagging bag bagged
Synset('shaw.n.04')	tim shaw
Synset('opening.n.01')	remain gap gaps
Synset('percentage.n.01')	figure 25 data lay bottom forecasting percentages percent 240 performance deletion percentage final decisions net
Synset('exert.v.03')	exert exerts
Synset('spot.n.13')	spot spots
Synset('organism.n.01')	slightly organism pool real conductance pole mode result input problem cells background organisms actively difference biological constraint terrain optical
Synset('adapt.v.01')	adapts accommodate accommodated adapting adapt difficult ability mosis
Synset('attribute.n.02')	independent attributes attribute
Synset('free-base.v.01')	47 chips nowlan consistency trial research japanese presented classifier model state net connections selected algorithm based models solid test individual grouping tool synapses system correlation directions aw statistical circuit nets figures methods gerstner learning cell unknown transform ghost systems design procedures studies decisions reinforcement place behavior ratios class designed universal policy svd erp decision assignment gradient ans sample strictly simulations performance nodes loosely variable information
Synset('optimization.n.01')	outputs study con circuit apparatus global wright optimisation search tics optimization function convex temperature plan guide 10 algorithm situations move level neuronal assignment require control dictated special square performance measure correlation selection 1983 size build explored final setup platt avoid parameters support optimizations
Synset('valley.n.01')	golden valley valleys
Synset('explanation.n.03')	explanations explanation
Synset('architecture.n.02')	architectures architecture
Synset('throw.v.06')	switching request flipped switches existence thrown switch throwing ball adaptive nodes throw meaning flips switched flipping flip
Synset('reputation.n.03')	reports computer technical report ics
Synset('critic.n.01')	td critics critic basis
Synset('uncertainty.n.01')	unit conference system clamped motion initial significant uncertainty uncertainties 1989
Synset('output_signal.n.01')	outputs measured correct inputs photoreceptor neuron distinct training cell presentations differential network output current common desired auditory composite and/or block subnets weighted algorithm digital actual linear wit winning gradients multiple steering calculating synapse specific produce single sparseness unit system measure sigmoid 700 ended final axon oriented showing dc
Synset('traverse.v.03')	traverse traverses traversed function traversing
Synset('forecast.v.01')	forecasting calculating calculate calculated
Synset('absorb.v.05')	absorbing absorbed
Synset('work.v.03')	smaller worked capabilities act memory 1995 method tree working acts acting
Synset('add.v.01')	added training simple error states spike tend random shown synchronizing adding function noise differentiating 50 net adds add hypothesize image set inhibition weights rc nodes 0.5
Synset('scalp.v.02')	3c sensors left scalp
Synset('protocol.n.01')	protocol protocols
Synset('intelligence.n.01')	tech procedures analysis intelligence
Synset('mirror.n.01')	current mirrors
Synset('pole.n.10')	poles pole cart
Synset('goal.n.01')	conclusion barr goal ends produces end circuits goals
Synset('network.v.01')	feedforward networks network
Synset('increase.n.02')	increases rate increase
Synset('importance.n.01')	importance fundamental
Synset('truncate.v.02')	truncate truncating truncated
Synset('observe.v.08')	maintains maintain observing maintaining observe observed
Synset('fund.v.03')	funding fund funded
Synset('couple.n.05')	couple couples
Synset('lane.n.02')	orientation hidden change convert changing networks bifurcation governing current road lanes visual prep lane traffic
Synset('surprise.v.01')	surprise functional surprising
Synset('oscillation.n.01')	negative outlined fig stimulus oscillation neurophysiological oscillations
Synset('place.v.12')	localizing localize localised localized placing
Synset('command.v.01')	commanded noise
Synset('vector.n.01')	vectors vector
Synset('refining.n.01')	refinement refining refinements
Synset('rod.n.01')	rod rods
Synset('selection.n.02')	dom set trained overhead conclusions converter experiments training draw suggest uncertainty network number random selections temperatures selection provide examples implemented selecting order
Synset('cochlea.n.01')	saturation ar cochlea analog descent readings system data sensory chose vlsi
Synset('set.v.05')	set sets setting
Synset('proposal.n.01')	proposal proposals
Synset('minute.n.01')	constant min smallest minutes achieved 40 ten local minute
Synset('exist.v.01')	algorithms scaling data evidence solutions binding movements units existed exist existing examples optimization techniques eigenvectors discontinuities exists algorithm
Synset('range.v.03')	ranging ranged response
Synset('take.v.06')	read takes
Synset('inability.n.01')	inability definition
Synset('worth.n.02')	scope worth
Synset('compression.n.03')	cost data 758 compression press
Synset('judgment.n.04')	judgement judgment
Synset('tracing.n.02')	2b artifact trace memory cells top gradient oscilloscope complex traces replacing theory
Synset('top_out.v.03')	stage peaked peak peaks
Synset('section.n.10')	section sections
Synset('second.n.01')	sec secs
Synset('equality.n.01')	equalities equality
Synset('support.n.04')	bicycle changing utilities fine supplies classifiers credit results temporal 99 environmental acknowledgements 1983 examples generalization council domain reinforcements ro support duff problems algorithms works solving approaching martinez learning global 490 units layered 1997 minimal 1996 negative 1995 excess 1992 supports graded reinforcement introduction successful effectiveness boyan process positive fellowship 141 performance encouragement absolute 2.3
Synset('success.n.02')	successes success
Synset('last.v.01')	lasted lasting
Synset('basis.n.03')	radial provide index rules smoothing basis changed
Synset('answer.n.04')	correct varying definite answer answers
Synset('touch.n.06')	hints hint
Synset('brightness.n.01')	image brightness color lightness 2-d
Synset('decline.n.02')	declines fused decline
Synset('trust.n.04')	trust application labeling combines combine algorithm
